[perf] running scenario 1/1: editor_fold_recompute
[perf]  3589.20 ms total |    36.58 ms |           TabCoordinator::Activate(index=16,path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  3589.21 ms total |    36.60 ms |         WorkspaceShell::InitializeCurrentProject::ActivateCurrentTabAfterStateLoad
[perf]  3589.44 ms total |    38.49 ms |       WorkspaceShell::InitializeCurrentProject
[perf]  3589.46 ms total |    38.50 ms |     ProjectCatalogService::ActivateProjectState::InitializeCurrentProject
[perf]  3589.46 ms total |    38.50 ms |   ProjectCatalogService::ActivateProjectState(root=/home/gef/Documents/projects/microide/tests/perf/fixtures/switch_project_b)
[perf]  3589.46 ms total |    38.50 ms | ProjectCatalogCoordinator::Activate
[perf] scenario=editor_auto_close_typing iteration=1/1
[perf]  3613.67 ms total |    24.11 ms |   TextViewport::OpenFile(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  3623.00 ms total |    33.48 ms | TabCoordinator::OpenFileInNewTab(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  4540.07 ms total |   916.00 ms | WorkspaceRootView::Render
[perf]  4555.12 ms total |    11.59 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4555.14 ms total |    11.61 ms | WorkspaceEventDispatcher::Handle
[perf]  4566.96 ms total |    11.81 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4566.97 ms total |    11.83 ms | TextViewport::Undo
[perf]  4578.78 ms total |    11.80 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4578.79 ms total |    11.82 ms | WorkspaceEventDispatcher::Handle
[perf]  4590.52 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4590.54 ms total |    11.74 ms | TextViewport::Undo
[perf]  4602.30 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4602.31 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  4614.01 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4614.04 ms total |    11.72 ms | TextViewport::Undo
[perf]  4625.76 ms total |    11.71 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4625.77 ms total |    11.73 ms | WorkspaceEventDispatcher::Handle
[perf]  4637.49 ms total |    11.72 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4637.51 ms total |    11.74 ms | TextViewport::Undo
[perf]  4649.28 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4649.29 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  4660.98 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4661.00 ms total |    11.70 ms | TextViewport::Undo
[perf]  4672.74 ms total |    11.74 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4672.76 ms total |    11.76 ms | WorkspaceEventDispatcher::Handle
[perf]  4684.49 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4684.50 ms total |    11.74 ms | TextViewport::Undo
[perf]  4696.22 ms total |    11.72 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4696.23 ms total |    11.73 ms | WorkspaceEventDispatcher::Handle
[perf]  4707.96 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4707.97 ms total |    11.74 ms | TextViewport::Undo
[perf]  4719.71 ms total |    11.73 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4719.72 ms total |    11.75 ms | WorkspaceEventDispatcher::Handle
[perf]  4731.26 ms total |    11.54 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4731.27 ms total |    11.55 ms | TextViewport::Undo
[perf]  4743.04 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4743.05 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  4754.62 ms total |    11.57 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4754.64 ms total |    11.59 ms | TextViewport::Undo
[perf]  4766.19 ms total |    11.54 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4766.20 ms total |    11.56 ms | WorkspaceEventDispatcher::Handle
[perf]  4777.93 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4777.95 ms total |    11.75 ms | TextViewport::Undo
[perf]  4789.52 ms total |    11.57 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4789.53 ms total |    11.58 ms | WorkspaceEventDispatcher::Handle
[perf]  4801.22 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4801.23 ms total |    11.70 ms | TextViewport::Undo
[perf]  4812.98 ms total |    11.74 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4812.99 ms total |    11.76 ms | WorkspaceEventDispatcher::Handle
[perf]  4824.68 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4824.69 ms total |    11.70 ms | TextViewport::Undo
[perf]  4836.45 ms total |    11.75 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4836.46 ms total |    11.77 ms | WorkspaceEventDispatcher::Handle
[perf]  4848.23 ms total |    11.77 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4848.25 ms total |    11.79 ms | TextViewport::Undo
[perf]  4859.95 ms total |    11.70 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4859.96 ms total |    11.72 ms | WorkspaceEventDispatcher::Handle
[perf]  4871.65 ms total |    11.68 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4871.66 ms total |    11.69 ms | TextViewport::Undo
[perf]  4883.32 ms total |    11.66 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4883.33 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  4894.94 ms total |    11.60 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4894.94 ms total |    11.61 ms | TextViewport::Undo
[perf]  4906.63 ms total |    11.68 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4906.64 ms total |    11.70 ms | WorkspaceEventDispatcher::Handle
[perf]  4918.27 ms total |    11.62 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4918.28 ms total |    11.64 ms | TextViewport::Undo
[perf]  4929.91 ms total |    11.62 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4929.93 ms total |    11.64 ms | WorkspaceEventDispatcher::Handle
[perf]  4941.60 ms total |    11.67 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4941.61 ms total |    11.68 ms | TextViewport::Undo
[perf]  4953.29 ms total |    11.67 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4953.30 ms total |    11.69 ms | WorkspaceEventDispatcher::Handle
[perf]  4964.91 ms total |    11.61 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4964.92 ms total |    11.62 ms | TextViewport::Undo
[perf]  4976.58 ms total |    11.65 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4976.59 ms total |    11.67 ms | WorkspaceEventDispatcher::Handle
[perf]  4988.20 ms total |    11.61 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4988.21 ms total |    11.62 ms | TextViewport::Undo
[perf]  4999.84 ms total |    11.62 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4999.84 ms total |    11.63 ms | WorkspaceEventDispatcher::Handle
[perf]  5011.50 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5011.51 ms total |    11.67 ms | TextViewport::Undo
[perf]  5023.15 ms total |    11.63 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5023.16 ms total |    11.64 ms | WorkspaceEventDispatcher::Handle
[perf]  5034.75 ms total |    11.59 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5034.76 ms total |    11.60 ms | TextViewport::Undo
[perf]  5046.45 ms total |    11.68 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  5046.46 ms total |    11.70 ms | WorkspaceEventDispatcher::Handle
[perf]  5058.12 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  5058.13 ms total |    11.67 ms | TextViewport::Undo
